"metric","model","dgp","mean_value","sd_y","value"
"ate_bias","weighting","dgp63",0.249808472816486,NA,NA
"ate_bias","weighting","dgp64",0.25057318307553,NA,NA
"ate_estimate","BART_ps-bart","dgp29",4.10565251355717,NA,NA
"ate_estimate","BART_ps-bart","dgp30",9.9974963797079,NA,NA
"ate_estimate","BART_ps-bart","dgp31",2.01864558962649,NA,NA
"ate_estimate","BART_ps-bart","dgp32",2.5156797296633,NA,NA
"ate_estimate","BART_ps-bart","dgp37",3.98233191867626,NA,NA
"ate_estimate","BART_ps-bart","dgp38",2.45863134392127,NA,NA
"ate_estimate","BART_ps-bart","dgp39",6.10412406994071,NA,NA
"ate_estimate","BART_ps-bart","dgp40",6.94608101754092,NA,NA
"ate_estimate","BART_ps-bart","dgp57",0.475680536803622,NA,NA
"ate_estimate","BART_ps-bart","dgp58",0.975238204859877,NA,NA
"ate_estimate","BART_ps-bart","dgp59",0.776935757359285,NA,NA
"ate_estimate","BART_ps-bart","dgp60",1.64383667847418,NA,NA
"ate_estimate","BART_ps-bart","dgp61",1.97745228278385,NA,NA
"ate_estimate","BART_ps-bart","dgp62",2.01680637353636,NA,NA
"ate_estimate","BART_ps-bart","dgp63",1.92203228066254,NA,NA
"ate_estimate","BART_ps-bart","dgp64",3.62406807458738,NA,NA
"ate_estimate","BART_ps-glm","dgp29",4.11277745564596,NA,NA
"ate_estimate","BART_ps-glm","dgp30",10.3148802716765,NA,NA
"ate_estimate","BART_ps-glm","dgp31",2.03226173433544,NA,NA
"ate_estimate","BART_ps-glm","dgp32",2.51041982565168,NA,NA
"ate_estimate","BART_ps-glm","dgp37",3.98392722118782,NA,NA
"ate_estimate","BART_ps-glm","dgp38",2.46527436550942,NA,NA
"ate_estimate","BART_ps-glm","dgp39",6.14175039735712,NA,NA
"ate_estimate","BART_ps-glm","dgp40",6.94508617811051,NA,NA
"ate_estimate","BART_ps-glm","dgp57",0.480383866083526,NA,NA
"ate_estimate","BART_ps-glm","dgp58",0.975051039718113,NA,NA
"ate_estimate","BART_ps-glm","dgp59",0.774875569473154,NA,NA
"ate_estimate","BART_ps-glm","dgp60",1.64308531653917,NA,NA
"ate_estimate","BART_ps-glm","dgp61",1.98422377746069,NA,NA
"ate_estimate","BART_ps-glm","dgp62",2.0296711813197,NA,NA
"ate_estimate","BART_ps-glm","dgp63",1.92563441877796,NA,NA
"ate_estimate","BART_ps-glm","dgp64",3.62255085127387,NA,NA
"ate_estimate","BART_s-learner","dgp29",4.13563655144974,NA,NA
"ate_estimate","BART_s-learner","dgp30",10.3183093213518,NA,NA
"ate_estimate","BART_s-learner","dgp31",2.03541139105092,NA,NA
"ate_estimate","BART_s-learner","dgp32",2.50481703449586,NA,NA
"ate_estimate","BART_s-learner","dgp37",3.98765348227195,NA,NA
"ate_estimate","BART_s-learner","dgp38",2.47848793820973,NA,NA
"ate_estimate","BART_s-learner","dgp39",6.14791888181582,NA,NA
"ate_estimate","BART_s-learner","dgp40",6.94028407930093,NA,NA
"ate_estimate","BART_s-learner","dgp57",0.482298762893575,NA,NA
"ate_estimate","BART_s-learner","dgp58",0.979941821410423,NA,NA
"ate_estimate","BART_s-learner","dgp59",0.772499695675338,NA,NA
"ate_estimate","BART_s-learner","dgp60",1.6397058795746,NA,NA
"ate_estimate","BART_s-learner","dgp61",1.99026428155478,NA,NA
"ate_estimate","BART_s-learner","dgp62",2.04421918633418,NA,NA
"ate_estimate","BART_s-learner","dgp63",1.9319985641071,NA,NA
"ate_estimate","BART_s-learner","dgp64",3.60776393117423,NA,NA
"ate_estimate","BART_t-learner","dgp29",4.14448428873789,NA,NA
"ate_estimate","BART_t-learner","dgp30",10.8339934514764,NA,NA
"ate_estimate","BART_t-learner","dgp31",2.04509176873846,NA,NA
"ate_estimate","BART_t-learner","dgp32",2.5105686129175,NA,NA
"ate_estimate","BART_t-learner","dgp37",3.98384834246721,NA,NA
"ate_estimate","BART_t-learner","dgp38",2.61106846916007,NA,NA
"ate_estimate","BART_t-learner","dgp39",6.25508877250569,NA,NA
"ate_estimate","BART_t-learner","dgp40",7.10104993640119,NA,NA
