"model","mean_rmse","mean_coverage","ci_length_mean"
"BART_ps-bart",0.230786911864371,0.939375,0.877638675708554
"BART_ps-glm",0.233172640658461,0.935625,0.865598990453076
"BART_s-learner",0.230648417511039,0.933125,0.851706541525252
"BART_t-learner",0.280280445109969,0.893125,0.891897698951961
"causal_forest",0.349739302969107,0.9125,1.17118048734819
"weighting",1.00017763105592,0.85375,0.973480358051963
