"model","dgp","k","n_trees","nu","q","rmse","setting","ci_length","coverage","rmse.x","rmse.y","min_node_size","sample_fraction","mtry","ps_model","rmse_relative"
"bart_ps-bart","dgp63",2,75,3,0.9,0.254950063123545,"default",0.993283813435713,0.95,NA,NA,NA,NA,NA,NA,0.127475031561772
"bart_ps-glm","dgp63",2,75,3,0.9,0.241431493772496,"default",0.973246647232844,0.95,NA,NA,NA,NA,NA,NA,0.120715746886248
"bart_s-learner","dgp63",2,75,3,0.9,0.224351799330763,"default",0.915673501663712,0.95,NA,NA,NA,NA,NA,NA,0.112175899665381
"bart_t-learner","dgp63",2,75,3,0.9,0.209017967761962,"default",0.958740514057381,0.95,NA,NA,NA,NA,NA,NA,0.104508983880981
"bart_ps-bart","dgp63",1,75,3,0.99,0.234896681324344,"tuned",1.05054583678389,1,0.234896681324344,0.234896681324344,NA,NA,NA,NA,0.117448340662172
"bart_ps-glm","dgp63",1,75,3,0.9,0.216106913629528,"tuned",0.996472938067704,1,0.216106913629528,0.216106913629528,NA,NA,NA,NA,0.108053456814764
"bart_s-learner","dgp63",1,75,10,0.75,0.197955829833547,"tuned",0.934828176205895,1,0.197955829833547,0.197955829833547,NA,NA,NA,NA,0.0989779149167734
"bart_t-learner","dgp63",3,75,3,0.99,0.205328532529034,"tuned",0.918193270079093,0.95,0.205328532529034,0.205328532529034,NA,NA,NA,NA,0.102664266264517
"causal_forest",NA,NA,NA,NA,NA,0.288095759976772,"default",0.861168997703282,0.8,NA,NA,5,0.5,26,NA,0.144047879988386
"causal_forest",NA,NA,NA,NA,NA,0.242387160659796,"tuned",0.733260652479717,0.8,0.242387160659796,0.242387160659796,50,0.3,10,NA,0.121193580329898
"iptw",NA,NA,NA,NA,NA,0.313389252523536,"default",0.887906371499059,0.85,NA,NA,NA,NA,NA,"linear_basic",0.156694626261768
"iptw",NA,NA,NA,NA,NA,0.309374429612125,"tuned",0.955705505518075,0.95,0.309374429612125,0.309374429612125,NA,NA,NA,"bart",0.154687214806062
