"dgp","metric","model","iteration","k","n_trees","value"
"dgp30","ate_estimate","bart_t-learner",1,1,75,11.5586949510115
"dgp30","ate_bias","bart_t-learner",1,1,75,1.55869495101149
"dgp30","ci_length","bart_t-learner",1,1,75,2.11424801884328
"dgp30","coverage","bart_t-learner",1,1,75,0
"dgp30","ate_estimate","bart_t-learner",1,2,75,11.751127791548
"dgp30","ate_bias","bart_t-learner",1,2,75,1.75112779154805
"dgp30","ci_length","bart_t-learner",1,2,75,2.1189708848854
"dgp30","coverage","bart_t-learner",1,2,75,0
"dgp30","ate_estimate","bart_t-learner",1,3,75,12.0338489504618
"dgp30","ate_bias","bart_t-learner",1,3,75,2.03384895046182
"dgp30","ci_length","bart_t-learner",1,3,75,2.08573212921604
"dgp30","coverage","bart_t-learner",1,3,75,0
"dgp30","ate_estimate","bart_t-learner",1,5,75,12.4904238594969
"dgp30","ate_bias","bart_t-learner",1,5,75,2.49042385949686
"dgp30","ci_length","bart_t-learner",1,5,75,2.09304896622351
"dgp30","coverage","bart_t-learner",1,5,75,0
"dgp30","ate_estimate","bart_t-learner",1,1,100,11.5706583539396
"dgp30","ate_bias","bart_t-learner",1,1,100,1.57065835393963
"dgp30","ci_length","bart_t-learner",1,1,100,2.11720018244285
"dgp30","coverage","bart_t-learner",1,1,100,0
"dgp30","ate_estimate","bart_t-learner",1,2,100,11.8072640340934
"dgp30","ate_bias","bart_t-learner",1,2,100,1.80726403409338
"dgp30","ci_length","bart_t-learner",1,2,100,2.09784485429092
"dgp30","coverage","bart_t-learner",1,2,100,0
"dgp30","ate_estimate","bart_t-learner",1,3,100,12.0725412708827
"dgp30","ate_bias","bart_t-learner",1,3,100,2.07254127088268
"dgp30","ci_length","bart_t-learner",1,3,100,2.09215255294249
"dgp30","coverage","bart_t-learner",1,3,100,0
"dgp30","ate_estimate","bart_t-learner",1,5,100,12.5762034394208
"dgp30","ate_bias","bart_t-learner",1,5,100,2.57620343942075
"dgp30","ci_length","bart_t-learner",1,5,100,2.09105948841825
"dgp30","coverage","bart_t-learner",1,5,100,0
"dgp30","ate_estimate","bart_t-learner",1,1,200,11.605810441372
"dgp30","ate_bias","bart_t-learner",1,1,200,1.605810441372
"dgp30","ci_length","bart_t-learner",1,1,200,2.12547129432225
"dgp30","coverage","bart_t-learner",1,1,200,0
"dgp30","ate_estimate","bart_t-learner",1,2,200,11.8753509706548
"dgp30","ate_bias","bart_t-learner",1,2,200,1.87535097065477
"dgp30","ci_length","bart_t-learner",1,2,200,2.05947195658905
"dgp30","coverage","bart_t-learner",1,2,200,0
"dgp30","ate_estimate","bart_t-learner",1,3,200,12.2086621138461
"dgp30","ate_bias","bart_t-learner",1,3,200,2.20866211384614
"dgp30","ci_length","bart_t-learner",1,3,200,2.10567087710428
"dgp30","coverage","bart_t-learner",1,3,200,0
"dgp30","ate_estimate","bart_t-learner",1,5,200,12.908928389816
"dgp30","ate_bias","bart_t-learner",1,5,200,2.90892838981599
"dgp30","ci_length","bart_t-learner",1,5,200,2.1051998022465
"dgp30","coverage","bart_t-learner",1,5,200,0
"dgp30","ate_estimate","bart_t-learner",2,1,75,10.0961486458847
"dgp30","ate_bias","bart_t-learner",2,1,75,0.0961486458846768
"dgp30","ci_length","bart_t-learner",2,1,75,2.0503875644614
"dgp30","coverage","bart_t-learner",2,1,75,1
"dgp30","ate_estimate","bart_t-learner",2,2,75,10.2268462251343
"dgp30","ate_bias","bart_t-learner",2,2,75,0.22684622513427
"dgp30","ci_length","bart_t-learner",2,2,75,1.96948531249788
"dgp30","coverage","bart_t-learner",2,2,75,1
"dgp30","ate_estimate","bart_t-learner",2,3,75,10.4154954297011
"dgp30","ate_bias","bart_t-learner",2,3,75,0.415495429701075
"dgp30","ci_length","bart_t-learner",2,3,75,2.02568555435802
"dgp30","coverage","bart_t-learner",2,3,75,1
"dgp30","ate_estimate","bart_t-learner",2,5,75,10.9468517258648
"dgp30","ate_bias","bart_t-learner",2,5,75,0.94685172586477
"dgp30","ci_length","bart_t-learner",2,5,75,2.01716265245751
"dgp30","coverage","bart_t-learner",2,5,75,1
"dgp30","ate_estimate","bart_t-learner",2,1,100,10.0468974593797
"dgp30","ate_bias","bart_t-learner",2,1,100,0.0468974593796663
"dgp30","ci_length","bart_t-learner",2,1,100,1.99883875377879
"dgp30","coverage","bart_t-learner",2,1,100,1
"dgp30","ate_estimate","bart_t-learner",2,2,100,10.2338032418035
"dgp30","ate_bias","bart_t-learner",2,2,100,0.23380324180355
"dgp30","ci_length","bart_t-learner",2,2,100,2.01134660637702
"dgp30","coverage","bart_t-learner",2,2,100,1
"dgp30","ate_estimate","bart_t-learner",2,3,100,10.5025604113394
"dgp30","ate_bias","bart_t-learner",2,3,100,0.502560411339381
"dgp30","ci_length","bart_t-learner",2,3,100,2.00372352580298
"dgp30","coverage","bart_t-learner",2,3,100,1
"dgp30","ate_estimate","bart_t-learner",2,5,100,11.0576345774357
"dgp30","ate_bias","bart_t-learner",2,5,100,1.05763457743574
"dgp30","ci_length","bart_t-learner",2,5,100,1.97663442517946
"dgp30","coverage","bart_t-learner",2,5,100,0
"dgp30","ate_estimate","bart_t-learner",2,1,200,9.97749523433007
"dgp30","ate_bias","bart_t-learner",2,1,200,-0.0225047656699253
"dgp30","ci_length","bart_t-learner",2,1,200,2.02732633263733
"dgp30","coverage","bart_t-learner",2,1,200,1
"dgp30","ate_estimate","bart_t-learner",2,2,200,10.2764720730351
"dgp30","ate_bias","bart_t-learner",2,2,200,0.276472073035105
"dgp30","ci_length","bart_t-learner",2,2,200,1.99517022734442
"dgp30","coverage","bart_t-learner",2,2,200,1
"dgp30","ate_estimate","bart_t-learner",2,3,200,10.5990591540004
"dgp30","ate_bias","bart_t-learner",2,3,200,0.59905915400039
"dgp30","ci_length","bart_t-learner",2,3,200,2.00058502820724
"dgp30","coverage","bart_t-learner",2,3,200,1
"dgp30","ate_estimate","bart_t-learner",2,5,200,11.3453231188911
"dgp30","ate_bias","bart_t-learner",2,5,200,1.34532311889107
"dgp30","ci_length","bart_t-learner",2,5,200,2.02362197241005
"dgp30","coverage","bart_t-learner",2,5,200,0
"dgp30","ate_estimate","bart_t-learner",3,1,75,10.6351986726172
"dgp30","ate_bias","bart_t-learner",3,1,75,0.635198672617157
"dgp30","ci_length","bart_t-learner",3,1,75,2.08230036051899
"dgp30","coverage","bart_t-learner",3,1,75,1
"dgp30","ate_estimate","bart_t-learner",3,2,75,10.8543700779435
"dgp30","ate_bias","bart_t-learner",3,2,75,0.854370077943491
"dgp30","ci_length","bart_t-learner",3,2,75,1.98329143153349
"dgp30","coverage","bart_t-learner",3,2,75,1
"dgp30","ate_estimate","bart_t-learner",3,3,75,11.0386021963284
"dgp30","ate_bias","bart_t-learner",3,3,75,1.03860219632836
"dgp30","ci_length","bart_t-learner",3,3,75,2.0119444716785
"dgp30","coverage","bart_t-learner",3,3,75,0
"dgp30","ate_estimate","bart_t-learner",3,5,75,11.4421769613371
"dgp30","ate_bias","bart_t-learner",3,5,75,1.44217696133712
"dgp30","ci_length","bart_t-learner",3,5,75,1.99780270732873
"dgp30","coverage","bart_t-learner",3,5,75,0
"dgp30","ate_estimate","bart_t-learner",3,1,100,10.6852159439379
"dgp30","ate_bias","bart_t-learner",3,1,100,0.685215943937905
"dgp30","ci_length","bart_t-learner",3,1,100,2.04351989664192
"dgp30","coverage","bart_t-learner",3,1,100,1
"dgp30","ate_estimate","bart_t-learner",3,2,100,10.9050933876849
"dgp30","ate_bias","bart_t-learner",3,2,100,0.905093387684923
"dgp30","ci_length","bart_t-learner",3,2,100,2.0233756146105
"dgp30","coverage","bart_t-learner",3,2,100,1
"dgp30","ate_estimate","bart_t-learner",3,3,100,11.1042342812153
"dgp30","ate_bias","bart_t-learner",3,3,100,1.1042342812153
"dgp30","ci_length","bart_t-learner",3,3,100,2.01210892678736
"dgp30","coverage","bart_t-learner",3,3,100,0
"dgp30","ate_estimate","bart_t-learner",3,5,100,11.5765597207423
"dgp30","ate_bias","bart_t-learner",3,5,100,1.57655972074229
"dgp30","ci_length","bart_t-learner",3,5,100,2.0532161361358
"dgp30","coverage","bart_t-learner",3,5,100,0
