"dgp","metric","model","iteration","k","n_trees","value"
"dgp30","coverage","bart_ps-glm",2,1,200,1
"dgp30","ate_estimate","bart_ps-glm",2,2,200,9.74392768700584
"dgp30","ate_bias","bart_ps-glm",2,2,200,-0.256072312994164
"dgp30","ci_length","bart_ps-glm",2,2,200,1.84746457361286
"dgp30","coverage","bart_ps-glm",2,2,200,1
"dgp30","ate_estimate","bart_ps-glm",2,3,200,9.81223455736574
"dgp30","ate_bias","bart_ps-glm",2,3,200,-0.187765442634261
"dgp30","ci_length","bart_ps-glm",2,3,200,1.82188058535542
"dgp30","coverage","bart_ps-glm",2,3,200,1
"dgp30","ate_estimate","bart_ps-glm",2,5,200,9.93086791986457
"dgp30","ate_bias","bart_ps-glm",2,5,200,-0.0691320801354323
"dgp30","ci_length","bart_ps-glm",2,5,200,1.81340694094215
"dgp30","coverage","bart_ps-glm",2,5,200,1
"dgp30","ate_estimate","bart_ps-glm",3,1,75,10.2963453854215
"dgp30","ate_bias","bart_ps-glm",3,1,75,0.296345385421459
"dgp30","ci_length","bart_ps-glm",3,1,75,1.86378889868385
"dgp30","coverage","bart_ps-glm",3,1,75,1
"dgp30","ate_estimate","bart_ps-glm",3,2,75,10.2314039679521
"dgp30","ate_bias","bart_ps-glm",3,2,75,0.231403967952117
"dgp30","ci_length","bart_ps-glm",3,2,75,1.85873378762295
"dgp30","coverage","bart_ps-glm",3,2,75,1
"dgp30","ate_estimate","bart_ps-glm",3,3,75,10.2928108143533
"dgp30","ate_bias","bart_ps-glm",3,3,75,0.292810814353336
"dgp30","ci_length","bart_ps-glm",3,3,75,1.75496549251397
"dgp30","coverage","bart_ps-glm",3,3,75,1
"dgp30","ate_estimate","bart_ps-glm",3,5,75,10.3712275517707
"dgp30","ate_bias","bart_ps-glm",3,5,75,0.371227551770707
"dgp30","ci_length","bart_ps-glm",3,5,75,1.83222859874694
"dgp30","coverage","bart_ps-glm",3,5,75,1
"dgp30","ate_estimate","bart_ps-glm",3,1,100,10.2194473655192
"dgp30","ate_bias","bart_ps-glm",3,1,100,0.219447365519159
"dgp30","ci_length","bart_ps-glm",3,1,100,1.78071787073096
"dgp30","coverage","bart_ps-glm",3,1,100,1
"dgp30","ate_estimate","bart_ps-glm",3,2,100,10.2808877625209
"dgp30","ate_bias","bart_ps-glm",3,2,100,0.280887762520869
"dgp30","ci_length","bart_ps-glm",3,2,100,1.79474379042783
"dgp30","coverage","bart_ps-glm",3,2,100,1
"dgp30","ate_estimate","bart_ps-glm",3,3,100,10.2940641505831
"dgp30","ate_bias","bart_ps-glm",3,3,100,0.294064150583107
"dgp30","ci_length","bart_ps-glm",3,3,100,1.81162529389059
"dgp30","coverage","bart_ps-glm",3,3,100,1
"dgp30","ate_estimate","bart_ps-glm",3,5,100,10.3450344902981
"dgp30","ate_bias","bart_ps-glm",3,5,100,0.345034490298112
"dgp30","ci_length","bart_ps-glm",3,5,100,1.79876808502412
"dgp30","coverage","bart_ps-glm",3,5,100,1
"dgp30","ate_estimate","bart_ps-glm",3,1,200,10.1793785038632
"dgp30","ate_bias","bart_ps-glm",3,1,200,0.179378503863239
"dgp30","ci_length","bart_ps-glm",3,1,200,1.83794008382615
"dgp30","coverage","bart_ps-glm",3,1,200,1
"dgp30","ate_estimate","bart_ps-glm",3,2,200,10.217771523781
"dgp30","ate_bias","bart_ps-glm",3,2,200,0.217771523780984
"dgp30","ci_length","bart_ps-glm",3,2,200,1.79179614907338
"dgp30","coverage","bart_ps-glm",3,2,200,1
"dgp30","ate_estimate","bart_ps-glm",3,3,200,10.2637617574137
"dgp30","ate_bias","bart_ps-glm",3,3,200,0.263761757413668
"dgp30","ci_length","bart_ps-glm",3,3,200,1.77035269076651
"dgp30","coverage","bart_ps-glm",3,3,200,1
"dgp30","ate_estimate","bart_ps-glm",3,5,200,10.3985896946801
"dgp30","ate_bias","bart_ps-glm",3,5,200,0.398589694680098
"dgp30","ci_length","bart_ps-glm",3,5,200,1.77118120949967
"dgp30","coverage","bart_ps-glm",3,5,200,1
"dgp30","ate_estimate","bart_ps-glm",4,1,75,10.5934892321806
"dgp30","ate_bias","bart_ps-glm",4,1,75,0.593489232180639
"dgp30","ci_length","bart_ps-glm",4,1,75,1.78425989251545
"dgp30","coverage","bart_ps-glm",4,1,75,1
"dgp30","ate_estimate","bart_ps-glm",4,2,75,10.5505987953458
"dgp30","ate_bias","bart_ps-glm",4,2,75,0.55059879534582
"dgp30","ci_length","bart_ps-glm",4,2,75,1.75960527821366
"dgp30","coverage","bart_ps-glm",4,2,75,1
"dgp30","ate_estimate","bart_ps-glm",4,3,75,10.5715359470081
"dgp30","ate_bias","bart_ps-glm",4,3,75,0.571535947008069
"dgp30","ci_length","bart_ps-glm",4,3,75,1.79235886433739
"dgp30","coverage","bart_ps-glm",4,3,75,1
"dgp30","ate_estimate","bart_ps-glm",4,5,75,10.6272191118987
"dgp30","ate_bias","bart_ps-glm",4,5,75,0.627219111898741
"dgp30","ci_length","bart_ps-glm",4,5,75,1.76218604486955
"dgp30","coverage","bart_ps-glm",4,5,75,1
"dgp30","ate_estimate","bart_ps-glm",4,1,100,10.5691230275552
"dgp30","ate_bias","bart_ps-glm",4,1,100,0.569123027555168
"dgp30","ci_length","bart_ps-glm",4,1,100,1.73440765308974
"dgp30","coverage","bart_ps-glm",4,1,100,1
"dgp30","ate_estimate","bart_ps-glm",4,2,100,10.5574496111047
"dgp30","ate_bias","bart_ps-glm",4,2,100,0.557449611104664
"dgp30","ci_length","bart_ps-glm",4,2,100,1.80847925305586
"dgp30","coverage","bart_ps-glm",4,2,100,1
"dgp30","ate_estimate","bart_ps-glm",4,3,100,10.6101006342537
"dgp30","ate_bias","bart_ps-glm",4,3,100,0.610100634253721
"dgp30","ci_length","bart_ps-glm",4,3,100,1.75700123840313
"dgp30","coverage","bart_ps-glm",4,3,100,1
"dgp30","ate_estimate","bart_ps-glm",4,5,100,10.6050748660506
"dgp30","ate_bias","bart_ps-glm",4,5,100,0.60507486605059
"dgp30","ci_length","bart_ps-glm",4,5,100,1.74072560806204
"dgp30","coverage","bart_ps-glm",4,5,100,1
"dgp30","ate_estimate","bart_ps-glm",4,1,200,10.5100899270566
"dgp30","ate_bias","bart_ps-glm",4,1,200,0.510089927056608
"dgp30","ci_length","bart_ps-glm",4,1,200,1.73758668527037
"dgp30","coverage","bart_ps-glm",4,1,200,1
"dgp30","ate_estimate","bart_ps-glm",4,2,200,10.5647296388572
"dgp30","ate_bias","bart_ps-glm",4,2,200,0.564729638857221
"dgp30","ci_length","bart_ps-glm",4,2,200,1.77367081637622
"dgp30","coverage","bart_ps-glm",4,2,200,1
"dgp30","ate_estimate","bart_ps-glm",4,3,200,10.6079340989669
"dgp30","ate_bias","bart_ps-glm",4,3,200,0.607934098966876
"dgp30","ci_length","bart_ps-glm",4,3,200,1.74747032690133
