"model","dgp","k","n_trees","nu","q","rmse","setting","ci_length","rmse.x","coverage","rmse.y","min_node_size","sample_fraction","mtry","ps_model"
"bart_ps-bart","dgp60",2,75,3,0.9,0.102308950786703,"default",0.311765190324041,NA,NA,NA,NA,NA,NA,NA
"bart_ps-glm","dgp60",2,75,3,0.9,0.104324939533233,"default",0.304010605587035,NA,NA,NA,NA,NA,NA,NA
"bart_s-learner","dgp60",2,75,3,0.9,0.10419910086692,"default",0.302517658865091,NA,NA,NA,NA,NA,NA,NA
"bart_t-learner","dgp60",2,75,3,0.9,0.0887546694805799,"default",0.298402433787387,NA,NA,NA,NA,NA,NA,NA
"bart_ps-bart","dgp60",2,75,10,0.75,0.101301867438227,"tuned",0.310881370348663,0.101301867438227,0.95,0.101301867438227,NA,NA,NA,NA
"bart_ps-glm","dgp60",1,75,3,0.9,0.0982772829943011,"tuned",0.306588951107198,0.0982772829943011,0.95,0.0982772829943011,NA,NA,NA,NA
"bart_s-learner","dgp60",1,75,3,0.9,0.0989301929479065,"tuned",0.306743967281679,0.0989301929479065,0.95,0.0989301929479065,NA,NA,NA,NA
"bart_t-learner","dgp60",1,75,3,0.99,0.0880170891968102,"tuned",0.305826476714336,0.0880170891968102,0.95,0.0880170891968102,NA,NA,NA,NA
"causal_forest",NA,NA,NA,NA,NA,0.106663326998432,"default",0.302084221258493,NA,NA,NA,5,0.5,26,NA
"causal_forest",NA,NA,NA,NA,NA,0.101993346766149,"tuned",0.304057813696836,0.101993346766149,0.85,0.101993346766149,5,0.5,11,NA
"iptw",NA,NA,NA,NA,NA,0.0921806245117779,"default",0.302233896572592,NA,NA,NA,NA,NA,NA,"linear_basic"
"iptw",NA,NA,NA,NA,NA,0.0905783249790856,"tuned",0.298284173766954,0.0905783249790856,0.95,0.0905783249790856,NA,NA,NA,"bart"
