"model","mean_bias_abs","mean_bias_rel","mean_bias_std","mean_rmse","mean_rmse_rel","mean_rmse_std","mean_coverage","mean_ci_length","mean_ci_length_rel","mean_ci_length_std"
"BART_ps-bart",0.18736946885447,0.0750148611883211,0.0430657918269779,0.230786911864371,0.0930557587305272,0.053762092819803,0.939375,0.877638675708554,0.367243458092109,0.211198988923996
"BART_ps-glm",0.188843362668807,0.074375677503101,0.0427172992917342,0.233172640658461,0.0923281634048612,0.0533691936116149,0.935625,0.865598990453076,0.363062086047334,0.208633401169198
"BART_s-learner",0.18730149804071,0.0738689865921706,0.0424251949026742,0.230648417511039,0.0912154853758344,0.0527149415512375,0.933125,0.851706541525252,0.356660353881721,0.205265865629802
"BART_t-learner",0.22796988667765,0.0801769698971079,0.0476098402968011,0.280280445109969,0.0993498452883794,0.0591531520055273,0.893125,0.891897698951961,0.36566560928003,0.209797294842778
"causal_forest",0.279278074253285,0.0936466440165197,0.0540087912482373,0.349739302969107,0.117089680946907,0.0682733697545664,0.9125,1.17118048734819,0.41479203687514,0.240258600299225
"weighting",0.935648722588822,0.157604368368515,0.0807029765803681,0.981647207331878,0.17795104867411,0.0933451285308391,0.855625,0.975610571456604,0.384409488615515,0.221061318185324
