"model","dgp","k","n_trees","nu","q","rmse","setting","ci_length","coverage","rmse.x","rmse.y","min_node_size","sample_fraction","mtry","ps_model","rmse_relative"
"bart_ps-bart","dgp40",2,75,3,0.9,0.14191801104058,"default",0.551996182241606,0.95,NA,NA,NA,NA,NA,NA,0.0203847050863482
"bart_ps-glm","dgp40",2,75,3,0.9,0.135060228285859,"default",0.53677496418771,0.95,NA,NA,NA,NA,NA,NA,0.0193996724046172
"bart_s-learner","dgp40",2,75,3,0.9,0.135043226320891,"default",0.542764788106769,0.95,NA,NA,NA,NA,NA,NA,0.0193972302900525
"bart_t-learner","dgp40",2,75,3,0.9,0.253815288128072,"default",0.614875285115741,0.85,NA,NA,NA,NA,NA,NA,0.0364573161430357
"bart_ps-bart","dgp40",5,200,10,0.75,0.133624823375932,"tuned",0.556907270662407,0.95,0.133624823375932,0.133624823375932,NA,NA,NA,NA,0.0191934948690542
"bart_ps-glm","dgp40",5,100,3,0.99,0.129545731354546,"tuned",0.525862790658995,0.95,0.129545731354546,0.129545731354546,NA,NA,NA,NA,0.0186075855312165
"bart_s-learner","dgp40",5,100,3,0.99,0.123670865847499,"tuned",0.523504394480058,0.95,0.123670865847499,0.123670865847499,NA,NA,NA,NA,0.0177637363262775
"bart_t-learner","dgp40",5,75,3,0.99,0.21515156258269,"tuned",0.777771216709116,0.9,0.21515156258269,0.21515156258269,NA,NA,NA,NA,0.0309037670409646
"causal_forest",NA,NA,NA,NA,NA,0.381792908004252,"default",1.585940096155,1,NA,NA,5,0.5,22,NA,0.0548396625393839
"causal_forest",NA,NA,NA,NA,NA,0.381792908004252,"tuned",1.585940096155,1,0.381792908004252,0.381792908004252,5,0.5,22,NA,0.0548396625393839
"iptw",NA,NA,NA,NA,NA,0.290728948237845,"default",0.868524282661941,0.85,NA,NA,NA,NA,NA,"linear_basic",0.0417594907541233
"iptw",NA,NA,NA,NA,NA,0.25983886389218,"tuned",0.82782656563987,0.9,0.25983886389218,0.25983886389218,NA,NA,NA,"bart",0.03732252567223
