"","model","dgp","bias_abs","bias_rel","bias_std","rmse","rmse_rel","rmse_std","coverage","ci_length","ci_length_rel","ci_length_std"
"1","BART_ps-bart","dgp29",0.360336170376201,0.09,0.0180561013171525,0.430222538024638,0.108,0.0215580404470226,0.94,1.52838583733001,0.382,0.0765859544483695
"2","BART_ps-bart","dgp30",0.402653642415338,0.04,0.0163748232615596,0.494084037212788,0.049,0.020093047556172,0.94,1.86287398901805,0.186,0.0757579942546798
"3","BART_ps-bart","dgp31",0.325956321302213,0.163,0.0179674999995702,0.404676088470511,0.202,0.0223067237670737,0.95,1.6113598002796,0.806,0.0888220455279591
"4","BART_ps-bart","dgp32",0.274957386184066,0.109,0.0216209144248956,0.324493037077747,0.128,0.025516085541473,0.97,1.37357081835856,0.543,0.108008944703829
"5","BART_ps-bart","dgp37",0.166875303645224,0.042,0.0316257056517401,0.203815505436831,0.051,0.0386265015937264,0.97,0.806268619836713,0.202,0.152801603893413
"6","BART_ps-bart","dgp38",0.118739647188693,0.047,0.082956216278839,0.146591673053825,0.059,0.102414743705656,0.99,0.589442718355644,0.236,0.41180800840845
"7","BART_ps-bart","dgp39",0.295495058415336,0.047,0.0212129061636188,0.363178990700295,0.058,0.026071778972001,0.77,0.958052291247837,0.153,0.0687763560685846
"8","BART_ps-bart","dgp40",0.115507538003779,0.017,0.0209103784239,0.141573886511773,0.02,0.0256291805112024,0.96,0.542644523068197,0.078,0.0982351673588739
"9","BART_ps-bart","dgp57",0.069186365621451,0.138,0.0557495449067427,0.0863653953301085,0.173,0.0695922013260318,0.94,0.356562354878863,0.713,0.287313675705057
"10","BART_ps-bart","dgp58",0.0884414557434202,0.088,0.0636986835429801,0.109763250370435,0.11,0.0790553987519071,0.94,0.39744630461572,0.397,0.286254971384583
"11","BART_ps-bart","dgp59",0.0692226276903004,0.087,0.0567584136592646,0.0877980250293182,0.11,0.0719891282569554,0.96,0.379135065953054,0.474,0.310868073404722
