"model","dgp","k","n_trees","nu","q","rmse","setting","ci_length","rmse.x","coverage","rmse.y","min_node_size","sample_fraction","mtry","ps_model"
"bart_ps-bart","dgp40",2,75,3,0.9,0.14191801104058,"default",0.551996182241606,NA,NA,NA,NA,NA,NA,NA
"bart_ps-glm","dgp40",2,75,3,0.9,0.135060228285859,"default",0.53677496418771,NA,NA,NA,NA,NA,NA,NA
"bart_s-learner","dgp40",2,75,3,0.9,0.135043226320891,"default",0.542764788106769,NA,NA,NA,NA,NA,NA,NA
"bart_t-learner","dgp40",2,75,3,0.9,0.253815288128072,"default",0.614875285115741,NA,NA,NA,NA,NA,NA,NA
"bart_ps-bart","dgp40",5,200,10,0.75,0.133624823375932,"tuned",0.556907270662407,0.133624823375932,0.95,0.133624823375932,NA,NA,NA,NA
"bart_ps-glm","dgp40",5,100,3,0.99,0.129545731354546,"tuned",0.525862790658995,0.129545731354546,0.95,0.129545731354546,NA,NA,NA,NA
"bart_s-learner","dgp40",5,100,3,0.99,0.123670865847499,"tuned",0.523504394480058,0.123670865847499,0.95,0.123670865847499,NA,NA,NA,NA
"bart_t-learner","dgp40",5,75,3,0.99,0.21515156258269,"tuned",0.777771216709116,0.21515156258269,0.9,0.21515156258269,NA,NA,NA,NA
"causal_forest",NA,NA,NA,NA,NA,0.381792908004252,"default",1.585940096155,NA,NA,NA,5,0.5,22,NA
"causal_forest",NA,NA,NA,NA,NA,0.381792908004252,"tuned",1.585940096155,0.381792908004252,1,0.381792908004252,5,0.5,22,NA
"iptw",NA,NA,NA,NA,NA,0.290728948237845,"default",0.868524282661941,NA,NA,NA,NA,NA,NA,"linear_basic"
"iptw",NA,NA,NA,NA,NA,0.25983886389218,"tuned",0.82782656563987,0.25983886389218,0.9,0.25983886389218,NA,NA,NA,"bart"
