"","dpg","iteration","discarded_ratio10","discarded_ratio5","discarded_max"
"1",29,1,0,0,0
"2",30,1,58,3,0
"3",31,1,0,0,0
"4",32,1,0,0,0
"5",37,1,48,31,9
"6",38,1,18,0,0
"7",39,1,145,75,78
"8",40,1,11,0,8
"9",57,1,0,0,0
"10",58,1,0,0,0
"11",59,1,0,0,0
"12",60,1,0,0,0
"13",61,1,0,0,0
"14",62,1,0,0,0
"15",63,1,0,0,0
"16",64,1,0,0,0
