"model","rank","n","prop"
"BART_ps-bart",1,3,0.1875
"BART_ps-bart",2,2,0.125
"BART_ps-bart",3,2,0.125
"BART_ps-bart",4,6,0.375
"BART_ps-bart",5,3,0.1875
"BART_ps-glm",2,4,0.25
"BART_ps-glm",3,11,0.6875
"BART_ps-glm",4,1,0.0625
"BART_s-learner",1,5,0.3125
"BART_s-learner",2,5,0.3125
"BART_s-learner",3,3,0.1875
"BART_s-learner",4,2,0.125
"BART_s-learner",5,1,0.0625
"BART_t-learner",1,3,0.1875
"BART_t-learner",2,3,0.1875
"BART_t-learner",4,2,0.125
"BART_t-learner",5,7,0.4375
"BART_t-learner",6,1,0.0625
"causal_forest",1,2,0.125
"causal_forest",2,1,0.0625
"causal_forest",4,3,0.1875
"causal_forest",5,2,0.125
"causal_forest",6,8,0.5
"weighting",1,3,0.1875
"weighting",2,1,0.0625
"weighting",4,2,0.125
"weighting",5,3,0.1875
"weighting",6,7,0.4375
