"dgp","metric","model","iteration","ps_model","regression_model","value"
"dgp29","ci_length","weighting",19,"linear_basic","linear_basic",1.69517794751945
"dgp29","coverage","weighting",19,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",20,"linear_basic","linear_basic",4.24029888037556
"dgp29","ate_bias","weighting",20,"linear_basic","linear_basic",-0.24029888037556
"dgp29","ci_length","weighting",20,"linear_basic","linear_basic",1.67642957546106
"dgp29","coverage","weighting",20,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",21,"linear_basic","linear_basic",3.24524762013627
"dgp29","ate_bias","weighting",21,"linear_basic","linear_basic",0.754752379863727
"dgp29","ci_length","weighting",21,"linear_basic","linear_basic",1.59351489707424
"dgp29","coverage","weighting",21,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",22,"linear_basic","linear_basic",4.52894718228724
"dgp29","ate_bias","weighting",22,"linear_basic","linear_basic",-0.528947182287242
"dgp29","ci_length","weighting",22,"linear_basic","linear_basic",1.66697685673067
"dgp29","coverage","weighting",22,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",23,"linear_basic","linear_basic",4.24448238522128
"dgp29","ate_bias","weighting",23,"linear_basic","linear_basic",-0.244482385221284
"dgp29","ci_length","weighting",23,"linear_basic","linear_basic",1.50139217152259
"dgp29","coverage","weighting",23,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",24,"linear_basic","linear_basic",4.55212956637851
"dgp29","ate_bias","weighting",24,"linear_basic","linear_basic",-0.552129566378515
"dgp29","ci_length","weighting",24,"linear_basic","linear_basic",1.50697224807408
"dgp29","coverage","weighting",24,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",25,"linear_basic","linear_basic",3.56733239944685
"dgp29","ate_bias","weighting",25,"linear_basic","linear_basic",0.432667600553146
"dgp29","ci_length","weighting",25,"linear_basic","linear_basic",1.5766019185022
"dgp29","coverage","weighting",25,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",26,"linear_basic","linear_basic",2.97384009204703
"dgp29","ate_bias","weighting",26,"linear_basic","linear_basic",1.02615990795297
"dgp29","ci_length","weighting",26,"linear_basic","linear_basic",1.67952927991875
"dgp29","coverage","weighting",26,"linear_basic","linear_basic",0
"dgp29","ate_estimate","weighting",27,"linear_basic","linear_basic",4.266923179764
"dgp29","ate_bias","weighting",27,"linear_basic","linear_basic",-0.266923179763999
"dgp29","ci_length","weighting",27,"linear_basic","linear_basic",1.54177083806399
"dgp29","coverage","weighting",27,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",28,"linear_basic","linear_basic",3.81857914960906
"dgp29","ate_bias","weighting",28,"linear_basic","linear_basic",0.181420850390942
"dgp29","ci_length","weighting",28,"linear_basic","linear_basic",1.59078824444294
"dgp29","coverage","weighting",28,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",29,"linear_basic","linear_basic",3.9501299504054
"dgp29","ate_bias","weighting",29,"linear_basic","linear_basic",0.0498700495945963
"dgp29","ci_length","weighting",29,"linear_basic","linear_basic",1.6710200548575
"dgp29","coverage","weighting",29,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",30,"linear_basic","linear_basic",3.7815353663097
"dgp29","ate_bias","weighting",30,"linear_basic","linear_basic",0.218464633690296
"dgp29","ci_length","weighting",30,"linear_basic","linear_basic",1.61259588277077
"dgp29","coverage","weighting",30,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",31,"linear_basic","linear_basic",3.93246449048291
"dgp29","ate_bias","weighting",31,"linear_basic","linear_basic",0.0675355095170911
"dgp29","ci_length","weighting",31,"linear_basic","linear_basic",1.53582840605533
"dgp29","coverage","weighting",31,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",32,"linear_basic","linear_basic",4.17301421849658
"dgp29","ate_bias","weighting",32,"linear_basic","linear_basic",-0.173014218496582
"dgp29","ci_length","weighting",32,"linear_basic","linear_basic",1.65098828203366
"dgp29","coverage","weighting",32,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",33,"linear_basic","linear_basic",4.5145523120742
"dgp29","ate_bias","weighting",33,"linear_basic","linear_basic",-0.514552312074201
"dgp29","ci_length","weighting",33,"linear_basic","linear_basic",1.55107180529455
"dgp29","coverage","weighting",33,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",34,"linear_basic","linear_basic",5.03759922465841
"dgp29","ate_bias","weighting",34,"linear_basic","linear_basic",-1.03759922465841
"dgp29","ci_length","weighting",34,"linear_basic","linear_basic",1.60455507386692
"dgp29","coverage","weighting",34,"linear_basic","linear_basic",0
"dgp29","ate_estimate","weighting",35,"linear_basic","linear_basic",3.90982526430463
"dgp29","ate_bias","weighting",35,"linear_basic","linear_basic",0.0901747356953728
"dgp29","ci_length","weighting",35,"linear_basic","linear_basic",1.55010348874145
"dgp29","coverage","weighting",35,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",36,"linear_basic","linear_basic",3.73897004894839
"dgp29","ate_bias","weighting",36,"linear_basic","linear_basic",0.261029951051611
"dgp29","ci_length","weighting",36,"linear_basic","linear_basic",1.50885074657638
"dgp29","coverage","weighting",36,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",37,"linear_basic","linear_basic",4.20319260204061
"dgp29","ate_bias","weighting",37,"linear_basic","linear_basic",-0.203192602040605
"dgp29","ci_length","weighting",37,"linear_basic","linear_basic",1.55413266622492
"dgp29","coverage","weighting",37,"linear_basic","linear_basic",1
