"","dgp","metric","model","iteration","value"
"1","dgp29","ate_estimate","BART_one_model",1,3.93109336665656
"2","dgp29","ate_estimate","BART_one_model",2,4.09783485035774
"3","dgp29","ate_estimate","BART_one_model",3,4.39700954128595
"4","dgp29","ate_estimate","BART_one_model",4,3.6676425914964
"5","dgp29","ate_estimate","BART_one_model",5,4.43156061164773
"6","dgp29","ate_estimate","BART_one_model",6,3.73146897058921
"7","dgp29","ate_estimate","BART_one_model",7,4.80020519077059
"8","dgp29","ate_estimate","BART_one_model",8,4.85861370587527
"9","dgp29","ate_estimate","BART_one_model",9,4.50754105329547
"10","dgp29","ate_estimate","BART_one_model",10,3.43514403588438
"11","dgp29","ate_estimate","BART_one_model",11,4.75484238974639
"12","dgp29","ate_estimate","BART_one_model",12,3.8330037424108
"13","dgp29","ate_estimate","BART_one_model",13,3.74336134599448
"14","dgp29","ate_estimate","BART_one_model",14,4.29325835533901
"15","dgp29","ate_estimate","BART_one_model",15,4.64296695699777
"16","dgp29","ate_estimate","BART_one_model",16,4.70511198351405
"17","dgp29","ate_estimate","BART_one_model",17,4.2108267955354
"18","dgp29","ate_estimate","BART_one_model",18,3.94649204912249
"19","dgp29","ate_estimate","BART_one_model",19,4.0643979047457
"20","dgp29","ate_estimate","BART_one_model",20,4.46830728780308
"21","dgp29","ate_estimate","BART_one_model",21,3.41530265756983
"22","dgp29","ate_estimate","BART_one_model",22,4.78261304803885
"23","dgp29","ate_estimate","BART_one_model",23,4.26642818303761
"24","dgp29","ate_estimate","BART_one_model",24,4.78956764001889
"25","dgp29","ate_estimate","BART_one_model",25,3.38055824513562
"26","dgp29","ate_estimate","BART_one_model",26,3.6021112977043
"27","dgp29","ate_estimate","BART_one_model",27,4.31259922092035
"28","dgp29","ate_estimate","BART_one_model",28,4.22543767542351
"29","dgp29","ate_estimate","BART_one_model",29,4.1106725532225
"30","dgp29","ate_estimate","BART_one_model",30,3.89921959580278
"31","dgp29","ate_estimate","BART_one_model",31,3.90381367940956
"32","dgp29","ate_estimate","BART_one_model",32,4.35075761091044
"33","dgp29","ate_estimate","BART_one_model",33,4.61680130380204
"34","dgp29","ate_estimate","BART_one_model",34,4.91607018565117
"35","dgp29","ate_estimate","BART_one_model",35,4.02839954958203
"36","dgp29","ate_estimate","BART_one_model",36,4.06079693799666
"37","dgp29","ate_estimate","BART_one_model",37,4.29090790055297
"38","dgp29","ate_estimate","BART_one_model",38,4.30431129516187
"39","dgp29","ate_estimate","BART_one_model",39,4.02772131045006
"40","dgp29","ate_estimate","BART_one_model",40,4.36921944461897
"41","dgp29","ate_estimate","BART_one_model",41,4.30320680575215
"42","dgp29","ate_estimate","BART_one_model",42,4.07663848403839
"43","dgp29","ate_estimate","BART_one_model",43,3.83503966169502
"44","dgp29","ate_estimate","BART_one_model",44,4.51177282602322
"45","dgp29","ate_estimate","BART_one_model",45,3.64417046962864
"46","dgp29","ate_estimate","BART_one_model",46,4.59225041234429
"47","dgp29","ate_estimate","BART_one_model",47,4.36893970295333
"48","dgp29","ate_estimate","BART_one_model",48,3.89006203476517
"49","dgp29","ate_estimate","BART_one_model",49,4.35069866901966
"50","dgp29","ate_estimate","BART_one_model",50,3.80541647462138
"51","dgp29","ate_estimate","BART_one_model",51,4.46499557723529
"52","dgp29","ate_estimate","BART_one_model",52,4.04668223829406
"53","dgp29","ate_estimate","BART_one_model",53,3.96942195127324
"54","dgp29","ate_estimate","BART_one_model",54,4.02783742975822
"55","dgp29","ate_estimate","BART_one_model",55,4.00989773595911
"56","dgp29","ate_estimate","BART_one_model",56,3.81191872088027
"57","dgp29","ate_estimate","BART_one_model",57,4.70562123975199
"58","dgp29","ate_estimate","BART_one_model",58,3.95900888873718
"59","dgp29","ate_estimate","BART_one_model",59,4.8412024893597
"60","dgp29","ate_estimate","BART_one_model",60,3.47839810651036
"61","dgp29","ate_estimate","BART_one_model",61,3.68238358793336
"62","dgp29","ate_estimate","BART_one_model",62,4.49885748165867
"63","dgp29","ate_estimate","BART_one_model",63,4.76389164322659
"64","dgp29","ate_estimate","BART_one_model",64,3.85387976952154
"65","dgp29","ate_estimate","BART_one_model",65,4.31844589251624
"66","dgp29","ate_estimate","BART_one_model",66,4.01936539295528
"67","dgp29","ate_estimate","BART_one_model",67,3.66258945857755
"68","dgp29","ate_estimate","BART_one_model",68,4.61962405914465
"69","dgp29","ate_estimate","BART_one_model",69,4.54022864206723
"70","dgp29","ate_estimate","BART_one_model",70,4.46561275570669
"71","dgp29","ate_estimate","BART_one_model",71,3.65964399924
"72","dgp29","ate_estimate","BART_one_model",72,4.1325022394982
"73","dgp29","ate_estimate","BART_one_model",73,3.65944610576132
"74","dgp29","ate_estimate","BART_one_model",74,3.59708812309764
"75","dgp29","ate_estimate","BART_one_model",75,4.18292323199443
"76","dgp29","ate_estimate","BART_one_model",76,3.46269783084664
"77","dgp29","ate_estimate","BART_one_model",77,4.27420828484258
"78","dgp29","ate_estimate","BART_one_model",78,3.86290615254909
"79","dgp29","ate_estimate","BART_one_model",79,3.62865669558818
"80","dgp29","ate_estimate","BART_one_model",80,4.48783094560072
"81","dgp29","ate_estimate","BART_one_model",81,4.35337597003984
"82","dgp29","ate_estimate","BART_one_model",82,3.38847952746766
"83","dgp29","ate_estimate","BART_one_model",83,4.92298433894235
"84","dgp29","ate_estimate","BART_one_model",84,4.55864858236803
"85","dgp29","ate_estimate","BART_one_model",85,4.04921784165479
"86","dgp29","ate_estimate","BART_one_model",86,4.37735176254995
"87","dgp29","ate_estimate","BART_one_model",87,3.15130772367103
"88","dgp29","ate_estimate","BART_one_model",88,4.5969664771696
"89","dgp29","ate_estimate","BART_one_model",89,3.77054125849038
"90","dgp29","ate_estimate","BART_one_model",90,4.48408732908162
"91","dgp29","ate_estimate","BART_one_model",91,3.31295665983961
"92","dgp29","ate_estimate","BART_one_model",92,4.13091084821935
"93","dgp29","ate_estimate","BART_one_model",93,4.19882571399355
"94","dgp29","ate_estimate","BART_one_model",94,3.98359328911704
"95","dgp29","ate_estimate","BART_one_model",95,4.48108980839506
"96","dgp29","ate_estimate","BART_one_model",96,4.0387966868898
"97","dgp29","ate_estimate","BART_one_model",97,3.94480371929315
"98","dgp29","ate_estimate","BART_one_model",98,4.39513485405968
"99","dgp29","ate_estimate","BART_one_model",99,3.6577146707358
"100","dgp29","ate_estimate","BART_one_model",100,3.52691380798965
"101","dgp29","ate_estimate","BART_two_models",1,4.1267646349899
"102","dgp29","ate_estimate","BART_two_models",2,4.15742418689198
"103","dgp29","ate_estimate","BART_two_models",3,4.43289079974051
"104","dgp29","ate_estimate","BART_two_models",4,3.78155982334289
"105","dgp29","ate_estimate","BART_two_models",5,4.31701931506055
"106","dgp29","ate_estimate","BART_two_models",6,3.58657362718339
"107","dgp29","ate_estimate","BART_two_models",7,4.80253259285333
"108","dgp29","ate_estimate","BART_two_models",8,4.94556502569781
"109","dgp29","ate_estimate","BART_two_models",9,4.35232085595817
"110","dgp29","ate_estimate","BART_two_models",10,3.34317385773748
"111","dgp29","ate_estimate","BART_two_models",11,4.95178140098427
