"dgp","metric","model","iteration","k","n_trees","value"
"dgp60","ate_bias","bart_t-learner",2,2,200,0.0407531817548863
"dgp60","ci_length","bart_t-learner",2,2,200,0.285487716835326
"dgp60","coverage","bart_t-learner",2,2,200,1
"dgp60","ate_estimate","bart_t-learner",2,3,200,1.70274227026061
"dgp60","ate_bias","bart_t-learner",2,3,200,0.0164939587244133
"dgp60","ci_length","bart_t-learner",2,3,200,0.28379383585749
"dgp60","coverage","bart_t-learner",2,3,200,1
"dgp60","ate_estimate","bart_t-learner",2,5,200,1.6708107566395
"dgp60","ate_bias","bart_t-learner",2,5,200,-0.0154375548966958
"dgp60","ci_length","bart_t-learner",2,5,200,0.288179300927096
"dgp60","coverage","bart_t-learner",2,5,200,1
"dgp60","ate_estimate","bart_t-learner",3,1,75,1.78226680730795
"dgp60","ate_bias","bart_t-learner",3,1,75,0.0960184957717474
"dgp60","ci_length","bart_t-learner",3,1,75,0.281919150106648
"dgp60","coverage","bart_t-learner",3,1,75,1
"dgp60","ate_estimate","bart_t-learner",3,2,75,1.76234394776445
"dgp60","ate_bias","bart_t-learner",3,2,75,0.0760956362282517
"dgp60","ci_length","bart_t-learner",3,2,75,0.278942096329953
"dgp60","coverage","bart_t-learner",3,2,75,1
"dgp60","ate_estimate","bart_t-learner",3,3,75,1.74225806540652
"dgp60","ate_bias","bart_t-learner",3,3,75,0.056009753870321
"dgp60","ci_length","bart_t-learner",3,3,75,0.278139668104167
"dgp60","coverage","bart_t-learner",3,3,75,1
"dgp60","ate_estimate","bart_t-learner",3,5,75,1.71318081954035
"dgp60","ate_bias","bart_t-learner",3,5,75,0.0269325080041536
"dgp60","ci_length","bart_t-learner",3,5,75,0.292433539866269
"dgp60","coverage","bart_t-learner",3,5,75,1
"dgp60","ate_estimate","bart_t-learner",3,1,100,1.78672594540831
"dgp60","ate_bias","bart_t-learner",3,1,100,0.10047763387211
"dgp60","ci_length","bart_t-learner",3,1,100,0.287427201733407
"dgp60","coverage","bart_t-learner",3,1,100,1
"dgp60","ate_estimate","bart_t-learner",3,2,100,1.7617412584537
"dgp60","ate_bias","bart_t-learner",3,2,100,0.0754929469174996
"dgp60","ci_length","bart_t-learner",3,2,100,0.285193339670952
"dgp60","coverage","bart_t-learner",3,2,100,1
"dgp60","ate_estimate","bart_t-learner",3,3,100,1.74138197143081
"dgp60","ate_bias","bart_t-learner",3,3,100,0.0551336598946059
"dgp60","ci_length","bart_t-learner",3,3,100,0.280544773528837
"dgp60","coverage","bart_t-learner",3,3,100,1
"dgp60","ate_estimate","bart_t-learner",3,5,100,1.71184684561549
"dgp60","ate_bias","bart_t-learner",3,5,100,0.0255985340792904
"dgp60","ci_length","bart_t-learner",3,5,100,0.286074521069451
"dgp60","coverage","bart_t-learner",3,5,100,1
"dgp60","ate_estimate","bart_t-learner",3,1,200,1.79441458986831
"dgp60","ate_bias","bart_t-learner",3,1,200,0.108166278332112
"dgp60","ci_length","bart_t-learner",3,1,200,0.285796154714682
"dgp60","coverage","bart_t-learner",3,1,200,1
"dgp60","ate_estimate","bart_t-learner",3,2,200,1.76136156427642
"dgp60","ate_bias","bart_t-learner",3,2,200,0.075113252740217
"dgp60","ci_length","bart_t-learner",3,2,200,0.285012736822195
"dgp60","coverage","bart_t-learner",3,2,200,1
"dgp60","ate_estimate","bart_t-learner",3,3,200,1.73881715960876
"dgp60","ate_bias","bart_t-learner",3,3,200,0.0525688480725552
"dgp60","ci_length","bart_t-learner",3,3,200,0.285072873881772
"dgp60","coverage","bart_t-learner",3,3,200,1
"dgp60","ate_estimate","bart_t-learner",3,5,200,1.70863252501781
"dgp60","ate_bias","bart_t-learner",3,5,200,0.0223842134816132
"dgp60","ci_length","bart_t-learner",3,5,200,0.292901856512368
"dgp60","coverage","bart_t-learner",3,5,200,1
"dgp60","ate_estimate","bart_t-learner",4,1,75,1.59842778255277
"dgp60","ate_bias","bart_t-learner",4,1,75,-0.0878205289834264
"dgp60","ci_length","bart_t-learner",4,1,75,0.295720006319912
"dgp60","coverage","bart_t-learner",4,1,75,1
"dgp60","ate_estimate","bart_t-learner",4,2,75,1.58926870310631
"dgp60","ate_bias","bart_t-learner",4,2,75,-0.0969796084298851
"dgp60","ci_length","bart_t-learner",4,2,75,0.289008671110363
"dgp60","coverage","bart_t-learner",4,2,75,1
"dgp60","ate_estimate","bart_t-learner",4,3,75,1.58552273849063
"dgp60","ate_bias","bart_t-learner",4,3,75,-0.100725573045568
"dgp60","ci_length","bart_t-learner",4,3,75,0.287940263432411
"dgp60","coverage","bart_t-learner",4,3,75,1
"dgp60","ate_estimate","bart_t-learner",4,5,75,1.57379920865306
"dgp60","ate_bias","bart_t-learner",4,5,75,-0.112449102883143
"dgp60","ci_length","bart_t-learner",4,5,75,0.283604241005705
"dgp60","coverage","bart_t-learner",4,5,75,1
"dgp60","ate_estimate","bart_t-learner",4,1,100,1.60257772079362
"dgp60","ate_bias","bart_t-learner",4,1,100,-0.0836705907425814
"dgp60","ci_length","bart_t-learner",4,1,100,0.293590596499154
"dgp60","coverage","bart_t-learner",4,1,100,1
"dgp60","ate_estimate","bart_t-learner",4,2,100,1.59138715646731
"dgp60","ate_bias","bart_t-learner",4,2,100,-0.0948611550688854
"dgp60","ci_length","bart_t-learner",4,2,100,0.285596110523875
"dgp60","coverage","bart_t-learner",4,2,100,1
"dgp60","ate_estimate","bart_t-learner",4,3,100,1.58454200043701
"dgp60","ate_bias","bart_t-learner",4,3,100,-0.101706311099192
"dgp60","ci_length","bart_t-learner",4,3,100,0.285535243240384
"dgp60","coverage","bart_t-learner",4,3,100,1
"dgp60","ate_estimate","bart_t-learner",4,5,100,1.57336521776196
"dgp60","ate_bias","bart_t-learner",4,5,100,-0.112883093774238
"dgp60","ci_length","bart_t-learner",4,5,100,0.291060662055303
"dgp60","coverage","bart_t-learner",4,5,100,1
"dgp60","ate_estimate","bart_t-learner",4,1,200,1.60141073011716
"dgp60","ate_bias","bart_t-learner",4,1,200,-0.0848375814190416
