"model","dgp","bias_abs","bias_rel","bias_std","rmse","rmse_rel","rmse_std","coverage","ci_length","ci_length_rel","ci_length_std"
"BART_ps-bart","dgp29",0.360336170376201,0.0900840425940502,0.0180561013171525,0.430222538024638,0.10755563450616,0.0215580404470226,0.94,1.52838583733001,0.382096459332502,0.0765859544483695
"BART_ps-bart","dgp30",0.402653642415338,0.0402653642415338,0.0163748232615596,0.494084037212788,0.0494084037212788,0.020093047556172,0.94,1.86287398901805,0.186287398901805,0.0757579942546798
"BART_ps-bart","dgp31",0.325956321302213,0.162978160651106,0.0179674999995702,0.404676088470511,0.202338044235256,0.0223067237670737,0.95,1.6113598002796,0.8056799001398,0.0888220455279591
"BART_ps-bart","dgp32",0.274957386184066,0.108791022296432,0.0216209144248956,0.324493037077747,0.1283905470651,0.025516085541473,0.97,1.37357081835856,0.543473938269617,0.108008944703829
"BART_ps-bart","dgp37",0.166875303645224,0.0417188259113061,0.0316257056517401,0.203815505436831,0.0509538763592077,0.0386265015937264,0.97,0.806268619836713,0.201567154959178,0.152801603893413
"BART_ps-bart","dgp38",0.118739647188693,0.0474958588754771,0.082956216278839,0.146591673053825,0.05863666922153,0.102414743705656,0.99,0.589442718355644,0.235777087342257,0.41180800840845
"BART_ps-bart","dgp39",0.295495058415336,0.0471261735251583,0.0212129061636188,0.363178990700295,0.0579205494271837,0.026071778972001,0.77,0.958052291247837,0.152792194785407,0.0687763560685846
"BART_ps-bart","dgp40",0.115507538003779,0.0165911790301229,0.0209103784239,0.141573886511773,0.0203352762746122,0.0256291805112024,0.96,0.542644523068197,0.0779439384436154,0.0982351673588739
"BART_ps-bart","dgp57",0.069186365621451,0.138372731242902,0.0557495449067427,0.0863653953301085,0.172730790660217,0.0695922013260318,0.94,0.356562354878863,0.713124709757725,0.287313675705057
"BART_ps-bart","dgp58",0.0884414557434202,0.0884414557434202,0.0636986835429801,0.109763250370435,0.109763250370435,0.0790553987519071,0.94,0.39744630461572,0.39744630461572,0.286254971384583
