"dgp","metric","model","iteration","k","n_trees","value"
"dgp30","ci_length","bart_s-learner",2,2,200,1.80797309090359
"dgp30","coverage","bart_s-learner",2,2,200,1
"dgp30","ate_estimate","bart_s-learner",2,3,200,9.77067060617037
"dgp30","ate_bias","bart_s-learner",2,3,200,-0.229329393829634
"dgp30","ci_length","bart_s-learner",2,3,200,1.85200806423511
"dgp30","coverage","bart_s-learner",2,3,200,1
"dgp30","ate_estimate","bart_s-learner",2,5,200,9.90429731403391
"dgp30","ate_bias","bart_s-learner",2,5,200,-0.0957026859660921
"dgp30","ci_length","bart_s-learner",2,5,200,1.80139681930926
"dgp30","coverage","bart_s-learner",2,5,200,1
"dgp30","ate_estimate","bart_s-learner",3,1,75,10.2425338260633
"dgp30","ate_bias","bart_s-learner",3,1,75,0.24253382606326
"dgp30","ci_length","bart_s-learner",3,1,75,1.79074310773174
"dgp30","coverage","bart_s-learner",3,1,75,1
"dgp30","ate_estimate","bart_s-learner",3,2,75,10.2073276506853
"dgp30","ate_bias","bart_s-learner",3,2,75,0.207327650685343
"dgp30","ci_length","bart_s-learner",3,2,75,1.77622596281084
"dgp30","coverage","bart_s-learner",3,2,75,1
"dgp30","ate_estimate","bart_s-learner",3,3,75,10.2720255073419
"dgp30","ate_bias","bart_s-learner",3,3,75,0.272025507341905
"dgp30","ci_length","bart_s-learner",3,3,75,1.81107494987979
"dgp30","coverage","bart_s-learner",3,3,75,1
"dgp30","ate_estimate","bart_s-learner",3,5,75,10.3229717611183
"dgp30","ate_bias","bart_s-learner",3,5,75,0.322971761118328
"dgp30","ci_length","bart_s-learner",3,5,75,1.81058766858772
"dgp30","coverage","bart_s-learner",3,5,75,1
"dgp30","ate_estimate","bart_s-learner",3,1,100,10.2357289253118
"dgp30","ate_bias","bart_s-learner",3,1,100,0.235728925311793
"dgp30","ci_length","bart_s-learner",3,1,100,1.79561340529167
"dgp30","coverage","bart_s-learner",3,1,100,1
"dgp30","ate_estimate","bart_s-learner",3,2,100,10.3057055956477
